ip_right_type,application_number,classification_system,classification,classification_importance,classification_inventiveness,classification_source,classifying_country_code,classification_date,classification_removal_date,classification_system_version,is_current
pbr,1988/018,upov,diant_car,,,,au,,,,True
pbr,1988/018,genus_species,dianthus caryophyllus,,,,au,,,,True
pbr,1988/018,genus,dianthus,,,,au,,,,True
pbr,1988/019,upov,diant_car,,,,au,,,,True
pbr,1988/019,genus_species,dianthus caryophyllus,,,,au,,,,True
pbr,1988/019,genus,dianthus,,,,au,,,,True
pbr,1988/020,upov,diant_car,,,,au,,,,True
pbr,1988/020,genus_species,dianthus caryophyllus,,,,au,,,,True
pbr,1988/020,genus,dianthus,,,,au,,,,True
pbr,1989/010,upov,rosaa,,,,au,,,,True
pbr,1989/010,genus_species,rosa hybrid,,,,au,,,,True
pbr,1989/010,genus,rosa,,,,au,,,,True
pbr,1989/011,upov,malus_dom,,,,au,,,,True
pbr,1989/011,genus_species,malus domestica,,,,au,,,,True
pbr,1989/011,genus,malus,,,,au,,,,True
pbr,1989/012,upov,agapa_pra_ori,,,,au,,,,True
pbr,1989/012,genus_species,agapanthus praecox subsp. orientalis,,,,au,,,,True
pbr,1989/012,genus,agapanthus,,,,au,,,,True
pbr,1989/013,upov,malus_dom,,,,au,,,,True
pbr,1989/013,genus_species,malus domestica,,,,au,,,,True
pbr,1989/013,genus,malus,,,,au,,,,True
pbr,1989/014,upov,trfol_res,,,,au,,,,True
pbr,1989/014,genus_species,trifolium resupinatum,,,,au,,,,True
pbr,1989/014,genus,trifolium,,,,au,,,,True
pbr,1989/015,upov,trfol_sub,,,,au,,,,True
pbr,1989/015,genus_species,trifolium subterraneum,,,,au,,,,True
pbr,1989/015,genus,trifolium,,,,au,,,,True
pbr,1989/016,upov,phase_vul,,,,au,,,,True
pbr,1989/016,genus_species,phaseolus vulgaris,,,,au,,,,True
pbr,1989/016,genus,phaseolus,,,,au,,,,True
pbr,1989/031,upov,prunu_per,,,,au,,,,True
pbr,1989/031,genus_species,prunus persica,,,,au,,,,True
pbr,1989/031,genus,prunus,,,,au,,,,True
pbr,1989/032,upov,impat,,,,au,,,,True
pbr,1989/032,genus_species,impatiens hybrid,,,,au,,,,True
pbr,1989/032,genus,impatiens,,,,au,,,,True
pbr,1989/033,upov,impat,,,,au,,,,True
pbr,1989/033,genus_species,impatiens hybrid,,,,au,,,,True
pbr,1989/033,genus,impatiens,,,,au,,,,True
pbr,1989/034,upov,impat,,,,au,,,,True
pbr,1989/034,genus_species,impatiens hybrid,,,,au,,,,True
pbr,1989/034,genus,impatiens,,,,au,,,,True
pbr,1989/035,upov,impat,,,,au,,,,True
pbr,1989/035,genus_species,impatiens hybrid,,,,au,,,,True
pbr,1989/035,genus,impatiens,,,,au,,,,True
pbr,1989/036,upov,impat,,,,au,,,,True
pbr,1989/036,genus_species,impatiens hybrid,,,,au,,,,True
pbr,1989/036,genus,impatiens,,,,au,,,,True
pbr,1989/037,upov,impat,,,,au,,,,True
pbr,1989/037,genus_species,impatiens hybrid,,,,au,,,,True
pbr,1989/037,genus,impatiens,,,,au,,,,True
pbr,1989/038,upov,impat,,,,au,,,,True
pbr,1989/038,genus_species,impatiens hybrid,,,,au,,,,True
pbr,1989/038,genus,impatiens,,,,au,,,,True
pbr,1989/039,upov,impat,,,,au,,,,True
pbr,1989/039,genus_species,impatiens hybrid,,,,au,,,,True
pbr,1989/039,genus,impatiens,,,,au,,,,True
pbr,1989/040,upov,impat,,,,au,,,,True
pbr,1989/040,genus_species,impatiens hybrid,,,,au,,,,True
pbr,1989/040,genus,impatiens,,,,au,,,,True
pbr,1989/041,upov,impat,,,,au,,,,True
pbr,1989/041,genus_species,impatiens hybrid,,,,au,,,,True
pbr,1989/041,genus,impatiens,,,,au,,,,True
pbr,1989/042,upov,impat,,,,au,,,,True
pbr,1989/042,genus_species,impatiens hybrid,,,,au,,,,True
pbr,1989/042,genus,impatiens,,,,au,,,,True
pbr,1989/043,upov,impat,,,,au,,,,True
pbr,1989/043,genus_species,impatiens hybrid,,,,au,,,,True
pbr,1989/043,genus,impatiens,,,,au,,,,True
pbr,1989/044,upov,impat,,,,au,,,,True
pbr,1989/044,genus_species,impatiens hybrid,,,,au,,,,True
pbr,1989/044,genus,impatiens,,,,au,,,,True
pbr,1989/045,upov,impat,,,,au,,,,True
pbr,1989/045,genus_species,impatiens hybrid,,,,au,,,,True
pbr,1989/045,genus,impatiens,,,,au,,,,True
pbr,1989/046,upov,impat,,,,au,,,,True
pbr,1989/046,genus_species,impatiens hybrid,,,,au,,,,True
pbr,1989/046,genus,impatiens,,,,au,,,,True
pbr,1989/047,upov,impat,,,,au,,,,True
pbr,1989/047,genus_species,impatiens hybrid,,,,au,,,,True
pbr,1989/047,genus,impatiens,,,,au,,,,True
pbr,1989/048,upov,impat,,,,au,,,,True
pbr,1989/048,genus_species,impatiens hybrid,,,,au,,,,True
pbr,1989/048,genus,impatiens,,,,au,,,,True
pbr,1989/049,upov,prunu_avi,,,,au,,,,True
pbr,1989/049,genus_species,prunus avium,,,,au,,,,True
pbr,1989/049,genus,prunus,,,,au,,,,True
pbr,1989/050,upov,rosaa,,,,au,,,,True
pbr,1989/050,genus_species,rosa hybrid,,,,au,,,,True
pbr,1989/050,genus,rosa,,,,au,,,,True
pbr,1989/051,upov,dctls_glo,,,,au,,,,True
pbr,1989/051,genus_species,dactylis glomerata,,,,au,,,,True
pbr,1989/051,genus,dactylis,,,,au,,,,True
pbr,1991/108,upov,bothr_per,,,,au,,,,True
pbr,1991/108,genus_species,bothriochloa pertusa,,,,au,,,,True
pbr,1991/108,genus,bothriochloa,,,,au,,,,True
pbr,1991/109,upov,avena_sat,,,,au,,,,True
pbr,1991/109,genus_species,avena sativa,,,,au,,,,True
pbr,1991/109,genus,avena,,,,au,,,,True
pbr,1991/110,upov,iberi_car,,,,au,,,,True
pbr,1991/110,genus_species,iberis pruitii,,,,au,,,,True
pbr,1991/110,genus,iberis,,,,au,,,,True
pbr,1991/111,upov,rhodd_pon,,,,au,,,,True
pbr,1991/111,genus_species,rhododendron azaleoides,,,,au,,,,True
pbr,1991/111,genus,rhododendron,,,,au,,,,True
pbr,1991/112,upov,tritl,,,,au,,,,True
pbr,1991/112,genus_species,,,,,au,,,,True
pbr,1991/112,genus,xtriticosecale,,,,au,,,,True
pbr,1991/113,upov,gossy_hir,,,,au,,,,True
pbr,1991/113,genus_species,gossypium hirsutum,,,,au,,,,True
pbr,1991/113,genus,gossypium,,,,au,,,,True
pbr,1991/114,upov,gossy_hir,,,,au,,,,True
pbr,1991/114,genus_species,gossypium hirsutum,,,,au,,,,True
pbr,1991/114,genus,gossypium,,,,au,,,,True
pbr,1991/115,upov,gossy_hir,,,,au,,,,True
pbr,1991/115,genus_species,gossypium hirsutum,,,,au,,,,True
pbr,1991/115,genus,gossypium,,,,au,,,,True
pbr,1991/116,upov,gossy_hir,,,,au,,,,True
pbr,1991/116,genus_species,gossypium hirsutum,,,,au,,,,True
pbr,1991/116,genus,gossypium,,,,au,,,,True
pbr,1991/117,upov,syzyg_pan,,,,au,,,,True
pbr,1991/117,genus_species,syzygium paniculatum,,,,au,,,,True
pbr,1991/117,genus,syzygium,,,,au,,,,True
pbr,1991/118,upov,dieff,,,,au,,,,True
pbr,1991/118,genus_species,dieffenbachia hybrid,,,,au,,,,True
pbr,1991/118,genus,dieffenbachia,,,,au,,,,True
pbr,1991/119,upov,phase_vul,,,,au,,,,True
pbr,1991/119,genus_species,phaseolus vulgaris,,,,au,,,,True
pbr,1991/119,genus,phaseolus,,,,au,,,,True
pbr,1991/120,upov,alliu_cep,,,,au,,,,True
pbr,1991/120,genus_species,allium cepa,,,,au,,,,True
pbr,1991/120,genus,allium,,,,au,,,,True
pbr,1991/121,upov,glyci_max,,,,au,,,,True
pbr,1991/121,genus_species,glycine max,,,,au,,,,True
pbr,1991/121,genus,glycine,,,,au,,,,True
pbr,1991/122,upov,glyci_max,,,,au,,,,True
pbr,1991/122,genus_species,glycine max,,,,au,,,,True
pbr,1991/122,genus,glycine,,,,au,,,,True
pbr,1991/123,upov,glyci_max,,,,au,,,,True
pbr,1991/123,genus_species,glycine max,,,,au,,,,True
pbr,1991/123,genus,glycine,,,,au,,,,True
pbr,1991/124,upov,glyci_max,,,,au,,,,True
pbr,1991/124,genus_species,glycine max,,,,au,,,,True
pbr,1991/124,genus,glycine,,,,au,,,,True
pbr,1991/125,upov,glyci_max,,,,au,,,,True
pbr,1991/125,genus_species,glycine max,,,,au,,,,True
pbr,1991/125,genus,glycine,,,,au,,,,True
pbr,1991/126,upov,xntst_chr,,,,au,,,,True
pbr,1991/126,genus_species,xanthostemon chrysanthus,,,,au,,,,True
pbr,1991/126,genus,xanthostemon,,,,au,,,,True
pbr,1991/127,upov,rosaa,,,,au,,,,True
pbr,1991/127,genus_species,rosa hybrid,,,,au,,,,True
pbr,1991/127,genus,rosa,,,,au,,,,True
pbr,1992/165,upov,vigna_rad,,,,au,,,,True
pbr,1992/165,genus_species,vigna radiata,,,,au,,,,True
pbr,1992/165,genus,vigna,,,,au,,,,True
pbr,1992/166,upov,solan_tub,,,,au,,,,True
pbr,1992/166,genus_species,solanum tuberosum,,,,au,,,,True
pbr,1992/166,genus,solanum,,,,au,,,,True
pbr,1992/167,upov,boron_het,,,,au,,,,True
pbr,1992/167,genus_species,boronia heterophylla,,,,au,,,,True
pbr,1992/167,genus,boronia,,,,au,,,,True
pbr,1992/168,upov,agoni_fle,,,,au,,,,True
pbr,1992/168,genus_species,agonis flexuosa,,,,au,,,,True
pbr,1992/168,genus,agonis,,,,au,,,,True
pbr,1992/169,upov,vigna_ung,,,,au,,,,True
pbr,1992/169,genus_species,vigna unguiculata,,,,au,,,,True
pbr,1992/169,genus,vigna,,,,au,,,,True
pbr,1992/170,upov,vigna_ung,,,,au,,,,True
pbr,1992/170,genus_species,vigna unguiculata,,,,au,,,,True
pbr,1992/170,genus,vigna,,,,au,,,,True
pbr,1992/171,upov,chmlc_mun,,,,au,,,,True
pbr,1992/171,genus_species,chamelaucium megalopetalum x uncinatum,,,,au,,,,True
pbr,1992/171,genus,chamelaucium,,,,au,,,,True
pbr,1992/172,upov,banks_coc,,,,au,,,,True
pbr,1992/172,genus_species,banksia coccinea,,,,au,,,,True
pbr,1992/172,genus,banksia,,,,au,,,,True
pbr,1992/173,upov,cuprc_ley,,,,au,,,,True
pbr,1992/173,genus_species,xcupressocyparis leylandii,,,,au,,,,True
pbr,1992/173,genus,xcupressocyparis,,,,au,,,,True
pbr,1992/174,upov,melal_inc,,,,au,,,,True
pbr,1992/174,genus_species,melaleuca incana,,,,au,,,,True
pbr,1992/174,genus,melaleuca,,,,au,,,,True
pbr,1992/175,upov,rosaa,,,,au,,,,True
pbr,1992/175,genus_species,rosa hybrid,,,,au,,,,True
pbr,1992/175,genus,rosa,,,,au,,,,True
pbr,1992/176,upov,rosaa,,,,au,,,,True
pbr,1992/176,genus_species,rosa hybrid,,,,au,,,,True
pbr,1992/176,genus,rosa,,,,au,,,,True
pbr,1992/177,upov,sesam_ind,,,,au,,,,True
pbr,1992/177,genus_species,sesamum indicum,,,,au,,,,True
pbr,1992/177,genus,sesamum,,,,au,,,,True
pbr,1989/052,upov,malus_dom,,,,au,,,,True
pbr,1989/052,genus_species,malus domestica,,,,au,,,,True
pbr,1989/052,genus,malus,,,,au,,,,True
pbr,1989/053,upov,malus_dom,,,,au,,,,True
pbr,1989/053,genus_species,malus domestica,,,,au,,,,True
pbr,1989/053,genus,malus,,,,au,,,,True
pbr,1989/054,upov,rosaa,,,,au,,,,True
pbr,1989/054,genus_species,rosa hybrid,,,,au,,,,True
pbr,1989/054,genus,rosa,,,,au,,,,True
pbr,1989/055,upov,rosaa,,,,au,,,,True
pbr,1989/055,genus_species,rosa hybrid,,,,au,,,,True
pbr,1989/055,genus,rosa,,,,au,,,,True
pbr,1989/056,upov,rosaa,,,,au,,,,True
pbr,1989/056,genus_species,rosa hybrid,,,,au,,,,True
pbr,1989/056,genus,rosa,,,,au,,,,True
pbr,1989/057,upov,liliu,,,,au,,,,True
pbr,1989/057,genus_species,lilium sp,,,,au,,,,True
pbr,1989/057,genus,lilium,,,,au,,,,True
pbr,1989/058,upov,liliu,,,,au,,,,True
pbr,1989/058,genus_species,lilium sp,,,,au,,,,True
pbr,1989/058,genus,lilium,,,,au,,,,True
pbr,1989/059,upov,liliu,,,,au,,,,True
pbr,1989/059,genus_species,lilium sp,,,,au,,,,True
pbr,1989/059,genus,lilium,,,,au,,,,True
pbr,1989/060,upov,liliu,,,,au,,,,True
pbr,1989/060,genus_species,lilium sp,,,,au,,,,True
pbr,1989/060,genus,lilium,,,,au,,,,True
pbr,1989/061,upov,liliu,,,,au,,,,True
pbr,1989/061,genus_species,lilium hybrid,,,,au,,,,True
pbr,1989/061,genus,lilium,,,,au,,,,True
pbr,1989/062,upov,liliu,,,,au,,,,True
pbr,1989/062,genus_species,lilium sp,,,,au,,,,True
pbr,1989/062,genus,lilium,,,,au,,,,True
pbr,1989/063,upov,liliu,,,,au,,,,True
pbr,1989/063,genus_species,lilium sp,,,,au,,,,True
pbr,1989/063,genus,lilium,,,,au,,,,True
pbr,1989/064,upov,liliu,,,,au,,,,True
pbr,1989/064,genus_species,lilium sp,,,,au,,,,True
pbr,1989/064,genus,lilium,,,,au,,,,True
pbr,1989/065,upov,liliu,,,,au,,,,True
pbr,1989/065,genus_species,lilium hybrid,,,,au,,,,True
pbr,1989/065,genus,lilium,,,,au,,,,True
pbr,1989/066,upov,fraga_ana,,,,au,,,,True
pbr,1989/066,genus_species,fragaria xananassa,,,,au,,,,True
pbr,1989/066,genus,fragaria,,,,au,,,,True
pbr,1989/067,upov,fraga_ana,,,,au,,,,True
pbr,1989/067,genus_species,fragaria xananassa,,,,au,,,,True
pbr,1989/067,genus,fragaria,,,,au,,,,True
pbr,1989/068,upov,fraga,,,,au,,,,True
pbr,1989/068,genus_species,fragaria sp,,,,au,,,,True
pbr,1989/068,genus,fragaria,,,,au,,,,True
pbr,1989/069,upov,fraga,,,,au,,,,True
pbr,1989/069,genus_species,fragaria sp,,,,au,,,,True
pbr,1989/069,genus,fragaria,,,,au,,,,True
pbr,1989/070,upov,fraga,,,,au,,,,True
pbr,1989/070,genus_species,fragaria sp,,,,au,,,,True
pbr,1989/070,genus,fragaria,,,,au,,,,True
pbr,1989/071,upov,fraga,,,,au,,,,True
pbr,1989/071,genus_species,fragaria hybrid,,,,au,,,,True
pbr,1989/071,genus,fragaria,,,,au,,,,True
pbr,1989/072,upov,fraga_ana,,,,au,,,,True
pbr,1989/072,genus_species,fragaria xananassa,,,,au,,,,True
pbr,1989/072,genus,fragaria,,,,au,,,,True
pbr,1989/073,upov,fraga_ana,,,,au,,,,True
pbr,1989/073,genus_species,fragaria xananassa,,,,au,,,,True
pbr,1989/073,genus,fragaria,,,,au,,,,True
pbr,1989/074,upov,fraga_ana,,,,au,,,,True
pbr,1989/074,genus_species,fragaria xananassa,,,,au,,,,True
pbr,1989/074,genus,fragaria,,,,au,,,,True
pbr,1989/075,upov,fraga,,,,au,,,,True
pbr,1989/075,genus_species,fragaria sp,,,,au,,,,True
pbr,1989/075,genus,fragaria,,,,au,,,,True
pbr,1989/076,upov,fraga,,,,au,,,,True
pbr,1989/076,genus_species,fragaria sp,,,,au,,,,True
pbr,1989/076,genus,fragaria,,,,au,,,,True
pbr,1989/077,upov,fraga,,,,au,,,,True
pbr,1989/077,genus_species,fragaria sp,,,,au,,,,True
pbr,1989/077,genus,fragaria,,,,au,,,,True
pbr,1989/078,upov,prunu_per,,,,au,,,,True
pbr,1989/078,genus_species,prunus persica,,,,au,,,,True
pbr,1989/078,genus,prunus,,,,au,,,,True
pbr,1989/079,upov,prunu_per_nuc,,,,au,,,,True
pbr,1989/079,genus_species,prunus persica var. nucipersica,,,,au,,,,True
pbr,1989/079,genus,prunus,,,,au,,,,True
pbr,1989/080,upov,prunu_per,,,,au,,,,True
pbr,1989/080,genus_species,prunus persica,,,,au,,,,True
pbr,1989/080,genus,prunus,,,,au,,,,True
pbr,1989/081,upov,acaly,,,,au,,,,True
pbr,1989/081,genus_species,acalypha hybrid,,,,au,,,,True
pbr,1989/081,genus,acalypha,,,,au,,,,True
pbr,1989/082,upov,cicer_ari,,,,au,,,,True
pbr,1989/082,genus_species,cicer arietinum,,,,au,,,,True
pbr,1989/082,genus,cicer,,,,au,,,,True
pbr,1989/083,upov,perse_ame,,,,au,,,,True
pbr,1989/083,genus_species,persea americana,,,,au,,,,True
pbr,1989/083,genus,persea,,,,au,,,,True
pbr,1989/084,upov,perse_ame,,,,au,,,,True
pbr,1989/084,genus_species,persea americana,,,,au,,,,True
pbr,1989/084,genus,persea,,,,au,,,,True
pbr,1989/085,upov,perse_ame,,,,au,,,,True
pbr,1989/085,genus_species,persea americana,,,,au,,,,True
pbr,1989/085,genus,persea,,,,au,,,,True
pbr,1989/086,upov,arach_pin,,,,au,,,,True
pbr,1989/086,genus_species,arachis pintoi,,,,au,,,,True
pbr,1989/086,genus,arachis,,,,au,,,,True
pbr,1989/087,upov,pyrus,,,,au,,,,True
pbr,1989/087,genus_species,pyrus hybrid,,,,au,,,,True
pbr,1989/087,genus,pyrus,,,,au,,,,True
pbr,1989/088,upov,pyrus,,,,au,,,,True
pbr,1989/088,genus_species,pyrus hybrid,,,,au,,,,True
pbr,1989/088,genus,pyrus,,,,au,,,,True
pbr,1989/089,upov,alstr,,,,au,,,,True
pbr,1989/089,genus_species,alstroemeria hybrid,,,,au,,,,True
pbr,1989/089,genus,alstroemeria,,,,au,,,,True
